emr_facility_key,state_code,zip_code_3,facility_type,emr_client_key
5940.0,AL,368,C,1035.0
5667.0,FL,346,C,960.0
5763.0,MO,648,C,907.0
6160.0,NJ,,C,980.0
5967.0,IL,,C,1042.0
6053.0,TN,,C,1005.0
5762.0,IN,462,O,892.0
6082.0,LA,714,C,1021.0
6219.0,TN,,C,1005.0
6342.0,UT,846,O,1096.0
6355.0,NJ,080,O,1100.0
5915.0,IN,,C,1003.0
5964.0,IL,,C,1042.0
6095.0,GA,399,C,1047.0
5941.0,FL,349,C,1010.0
6017.0,TX,,C,1001.0
6392.0,KY,420,C,1123.0
5858.0,IN,,C,1001.0
6014.0,TX,,C,979.0
6139.0,TX,,C,1036.0
6266.0,MI,480,O,926.0
5837.0,AL,,C,1013.0
6169.0,WV,,C,1054.0
6184.0,FL,347,C,960.0
5858.0,IN,,C,1012.0
6341.0,VT,052,C,1094.0
5728.0,FL,346,C,960.0
5733.0,MI,480,O,926.0
5825.0,CA,,C,1022.0
5941.0,FL,,C,1001.0
5953.0,FL,,C,998.0
5953.0,FL,,C,1001.0
6017.0,TX,,C,979.0
6139.0,TX,,C,1001.0
5935.0,FL,,C,981.0
5958.0,IL,,C,1042.0
6066.0,WA,,C,1002.0
5834.0,GA,,C,1001.0
5893.0,MI,,C,1024.0
5935.0,FL,,C,1001.0
6027.0,TN,,C,1005.0
6080.0,PA,,C,1039.0
6239.0,FL,,C,998.0
6336.0,GA,,C,1043.0
6343.0,UT,846,O,1096.0
6409.0,NJ,109,O,1122.0
5575.0,NY,117,C,890.0
6176.0,CO,,C,1053.0
6257.0,,,C,1072.0
5736.0,NY,110,O,899.0
5834.0,GA,,C,1043.0
5969.0,IL,,C,1040.0
6049.0,FL,,C,1026.0
5621.0,MT,599,C,924.0
6229.0,MI,,C,1058.0
5916.0,IN,,C,1003.0
6046.0,IN,,C,1037.0
5897.0,NJ,,C,1030.0
6316.0,CA,917,C,898.0
6354.0,TX,770,O,1093.0
5749.0,FL,334,O,938.0
5906.0,NC,,C,995.0
6038.0,TN,,C,1005.0
6109.0,KY,,C,987.0
6147.0,NJ,,C,980.0
5906.0,NC,,C,1001.0
5864.0,FL,,C,1001.0
6267.0,FL,334,O,938.0
6261.0,,,C,1072.0
6381.0,,,C,1072.0
5601.0,WV,415,C,904.0
6215.0,AR,,C,1020.0
5654.0,NJ,088,O,919.0
5860.0,AR,,C,1001.0
5864.0,FL,,C,1026.0
5938.0,NC,,C,1001.0
6044.0,IN,,C,1037.0
6259.0,,,C,1072.0
5638.0,WA,993,C,969.0
5860.0,AR,,C,1020.0
5938.0,NC,,C,997.0
6016.0,TX,,C,979.0
6073.0,TX,,C,994.0
5572.0,NY,104,C,916.0
5942.0,TN,638,C,1023.0
5914.0,IN,,C,1003.0
6009.0,CA,,C,1001.0
6009.0,CA,,C,1019.0
6141.0,WA,,C,1001.0
5912.0,IN,,C,1003.0
6233.0,MI,,C,1058.0
6235.0,MI,,C,1058.0
5747.0,FL,328,C,960.0
6122.0,TX,,C,1036.0
6143.0,WA,,C,1001.0
6150.0,GA,,C,1043.0
6007.0,TN,,C,1005.0
6122.0,TX,,C,1001.0
6250.0,GA,305,O,953.0
6258.0,,,C,1072.0
6312.0,,,H,1113.0
5670.0,FL,347,C,960.0
5690.0,TX,784,O,909.0
6322.0,FL,,C,1026.0
5868.0,VA,,C,982.0
6025.0,TN,,C,1005.0
5665.0,LA,704,O,933.0
5824.0,,,,978.0
5824.0,,,,982.0
5824.0,,,,991.0
5824.0,,,,1003.0
5824.0,,,,1009.0
5824.0,,,,1023.0
5824.0,,,,1027.0
5824.0,,,,1041.0
5824.0,,,,984.0
5824.0,,,,985.0
5824.0,,,,1002.0
5824.0,,,,1007.0
5824.0,,,,1010.0
5824.0,,,,1013.0
5824.0,,,,1017.0
5824.0,,,,1024.0
5824.0,,,,1029.0
5824.0,,,,1032.0
5824.0,,,,1034.0
5824.0,,,,1036.0
5824.0,,,,1040.0
5824.0,,,,1042.0
5824.0,,,,1046.0
5824.0,,,,1054.0
5905.0,NC,,C,995.0
5824.0,,,,980.0
5824.0,,,,987.0
5824.0,,,,988.0
5824.0,,,,993.0
5824.0,,,,998.0
5824.0,,,,1004.0
5824.0,,,,1006.0
5824.0,,,,1008.0
5824.0,,,,1016.0
5824.0,,,,1018.0
5824.0,,,,1028.0
5824.0,,,,1052.0
5824.0,,,,1053.0
5929.0,AL,,C,1001.0
6055.0,MD,,C,1018.0
5574.0,DE,198,C,893.0
5824.0,,,,981.0
5824.0,,,,986.0
5824.0,,,,989.0
5824.0,,,,994.0
5824.0,,,,999.0
5824.0,,,,1000.0
5824.0,,,,1001.0
5824.0,,,,1005.0
5824.0,,,,1012.0
5824.0,,,,1014.0
5824.0,,,,1030.0
5824.0,,,,1039.0
5824.0,,,,1044.0
5824.0,,,,1045.0
5824.0,,,,1050.0
5824.0,,,,1058.0
5929.0,AL,,C,1045.0
5824.0,,,,979.0
5824.0,,,,996.0
5824.0,,,,997.0
5824.0,,,,1011.0
5824.0,,,,1015.0
5824.0,,,,1019.0
5824.0,,,,1020.0
5824.0,,,,1021.0
5824.0,,,,1022.0
5824.0,,,,1026.0
5824.0,,,,1035.0
5824.0,,,,1038.0
5824.0,,,,1043.0
5824.0,,,,1048.0
5824.0,,,,1049.0
5936.0,NC,,C,997.0
6005.0,TN,,C,1005.0
5591.0,FL,336,O,908.0
5824.0,,,,992.0
5824.0,,,,995.0
5824.0,,,,1025.0
5824.0,,,,1031.0
5824.0,,,,1033.0
5824.0,,,,1037.0
5824.0,,,,1047.0
5824.0,,,,1051.0
6350.0,NJ,080,O,1100.0
6395.0,NJ,109,O,1122.0
6156.0,PA,,C,988.0
5875.0,GA,,C,1044.0
5922.0,GA,,C,1001.0
6051.0,NH,,C,1017.0
6083.0,LA,,C,1001.0
6084.0,LA,,C,1004.0
5709.0,CA,910,C,898.0
5761.0,CA,905,C,968.0
5827.0,GA,,C,1001.0
5827.0,GA,,C,1043.0
6083.0,LA,,C,1004.0
6090.0,KY,,C,987.0
6174.0,TX,,C,979.0
6084.0,LA,,C,1001.0
6426.0,FL,334,O,938.0
5922.0,GA,,C,993.0
5970.0,IL,,C,1040.0
6051.0,NH,,C,1001.0
6156.0,PA,,C,1001.0
